Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,Sceptre,Hardcover,342,2018,2018,,2026/05/04,to-read,to-read (#1),to-read,,,,0,0
23947748,Rolling Rocks Downhill: The Agile+ToC Business Novel (Theory of Constraints Simplified),Clarke Ching,"Ching, Clarke",,"=""""","=""""",0,,Kindle Edition,321,2014,2012,,2025/10/27,,,read,,,,1,0
203164357,"Death at the Sign of the Rook (Jackson Brodie, #6)",Kate Atkinson,"Atkinson, Kate",,"=""0385547994""","=""9780385547994""",0,Doubleday,Hardcover,320,2024,2024,2025/03/26,2025/04/13,unfinished,unfinished (#1),read,,,,1,0
125937631,Material World: The Six Raw Materials That Shape Modern Civilization,Ed Conway,"Conway, Ed",Edmund Conway,"=""0593534344""","=""9780593534342""",0,Knopf,Hardcover,512,2023,2023,,2025/04/13,currently-reading,currently-reading (#1),currently-reading,,,,1,0
198532521,Wolves of Winter,Dan Jones,"Jones, Dan",,"=""0593653793""","=""9780593653791""",0,Viking,Hardcover,448,2024,2023,2025/02/27,2025/04/13,,,read,,,,2,0
